Datum,col1,col2,col3,col4,,
2023/1/11,0.11,0.243,0.161,0.296,,
2023/1/11,0.284,0.88,0.688,0.884,,
2023/1/11,0.182,0.608,0.553,0.824,,
2023/1/13 0:00,0.177,0.305,0.467,0.935,,
2023/1/13 0:00,0.7,0.916,0.362,0.678,,
2023/1/13 0:00,0.161,0.931,0.613,0.719,,
2022/12/9 0:00,0.125,0.382,0.128,0.369,,
2023/1/6 0:00,0.125,0.382,0.128,0.37,,
2023/1/6 0:00,0.125,0.382,0.07,0.347,,
2023/1/6 0:00,0.526,0.885,0.568,0.784,,
2023/1/6 0:00,0.238,0.592,0.136,0.407,,
2023/1/6 0:00,0.526,0.885,0.231,0.784,,
2023/1/6 0:00,0.156,0.674,0.513,0.814,,
2023/1/6 0:00,0.182,0.608,0.543,0.829,,
2023/1/6 0:00,0.284,0.88,0.683,0.884,,
2023/1/6 0:00,0.254,0.731,0.181,0.759,,
2023/1/6 0:00,0.402,0.459,0.437,0.658,,
2023/1/6 0:00,0.264,0.828,0.296,0.543,,
2023/2/10 0:00,0.367,0.746,0.347,0.568,,
2023/2/10 0:00,0.131,0.29,0.447,0.894,,
2023/2/10 0:00,0.654,0.849,0.578,0.869,,
2023/2/10 0:00,0.11,0.382,0.075,0.442,,
2023/2/10 0:00,0.32,0.762,0.729,0.889,,
2023/2/10 0:00,0.485,0.654,0.337,0.693,,
2023/2/10 0:00,0.326,0.479,0.211,0.638,,
2023/2/15 0:00,0.074,0.526,0.261,0.382,,
2023/2/15 0:00,0.438,0.577,0.075,0.578,,
2023/2/15 0:00,0.269,0.51,0.437,0.839,,
2023/2/15 0:00,0.249,0.382,0.462,0.955,,
2023/2/15 0:00,0.495,0.854,0.121,0.367,,
2023/2/15 0:00,0.295,0.638,0.704,0.925,,
2023/2/17 0:00,0.074,0.526,0.261,0.382,,
2023/2/17 0:00,0.254,0.52,0.523,0.724,,
2023/2/17 0:00,0.438,0.577,0.075,0.578,,
2023/2/17 0:00,0.269,0.51,0.437,0.839,,
2023/2/17 0:00,0.249,0.382,0.462,0.955,,
2023/2/17 0:00,0.592,0.68,0.111,0.925,,
2023/2/17 0:00,0.454,0.649,0.472,0.899,,
2023/2/17 0:00,0.295,0.638,0.704,0.925,,
